SIGUNGU_NM,LV2_CODE,LV2_NAME,AREA_M2
동작구,110,주거지역,8149111.656013189
동작구,130,상업지역,684442.1297664408
동작구,140,위락시설지역,36476.84616749646
동작구,150,교통시설지역,2315825.156591421
동작구,160,공공시설지역,1290981.3232852153
동작구,310,활엽수림,1778616.8982771898
동작구,320,침엽수림,277951.72936791356
동작구,330,혼효림,333302.3069184308
동작구,430,기타초지,723678.0296458803
동작구,620,기타나지,462816.5846659603
동작구,710,내륙수,310414.67241121636
마포구,110,주거지역,7373766.185576505
마포구,130,상업지역,1299133.6337844636
마포구,140,위락시설지역,216120.1490833073
마포구,150,교통시설지역,4723287.718132728
마포구,160,공공시설지역,1680632.3333193988
마포구,210,논,74345.47398614883
마포구,220,밭,223748.71433678493
마포구,310,활엽수림,212033.7913026557
마포구,330,혼효림,420513.4351834384
마포구,420,골프장,328531.61977736483
마포구,430,기타초지,2580051.2649277835
마포구,510,내륙습지,18357.267719447
마포구,620,기타나지,392004.20291614946
마포구,710,내륙수,4302292.464685864
서대문구,110,주거지역,7038845.455234756
서대문구,130,상업지역,909242.1306029352
서대문구,150,교통시설지역,2374101.332797704
서대문구,160,공공시설지역,1597036.86990685
서대문구,220,밭,11518.152903312926
서대문구,310,활엽수림,3253271.3858897984
서대문구,330,혼효림,1701142.0339810527
서대문구,430,기타초지,270601.7516923782
서대문구,620,기타나지,342473.0197749331
서대문구,710,내륙수,176474.27959120963
서초구,110,주거지역,9189480.763237188
서초구,120,공업지역,373366.71107872267
서초구,130,상업지역,3723216.5986917634
서초구,140,위락시설지역,129437.18920727758
서초구,150,교통시설지역,3729627.4583699354
서초구,160,공공시설지역,3948611.753192783
서초구,210,논,363744.9375688265
서초구,220,밭,2109963.2449703803
서초구,230,하우스재배지,1561335.7356686736
서초구,250,기타재배지,23832.80421146025
서초구,310,활엽수림,11807865.85709005
서초구,320,침엽수림,1492070.423873503
서초구,330,혼효림,4558962.483175212
서초구,410,자연초지,15551.900079651372
서초구,420,골프장,19534.074137417163
서초구,430,기타초지,1116115.8458274407
서초구,510,내륙습지,37616.390833294005
서초구,620,기타나지,1163992.2152970673
서초구,710,내륙수,1521004.7306088128
성동구,110,주거지역,4025518.317748027
성동구,120,공업지역,26732.511936653766
성동구,130,상업지역,2387688.700936207
성동구,150,교통시설지역,2740705.7039043875
성동구,160,공공시설지역,2700664.5304070963
성동구,220,밭,13487.312795190335
성동구,330,혼효림,279406.16722266085
성동구,430,기타초지,1710557.0576990664
성동구,510,내륙습지,16074.97457116692
성동구,620,기타나지,506149.4358482999
성동구,710,내륙수,2397508.588599774
성북구,110,주거지역,9076086.852823827
성북구,120,공업지역,15552.527769929346
성북구,130,상업지역,1551983.9925180776
성북구,140,위락시설지역,98024.56429819365
성북구,150,교통시설지역,2432978.784568746
성북구,160,공공시설지역,2496696.5897164796
성북구,220,밭,22448.398049636136
성북구,310,활엽수림,3889057.9657473937
성북구,320,침엽수림,151666.92962942395
성북구,330,혼효림,3875724.3108684584
성북구,410,자연초지,7363.312610283316
성북구,430,기타초지,307495.47312968434
성북구,510,내륙습지,12584.334542418585
성북구,620,기타나지,490896.1498364428
성북구,710,내륙수,131661.66537329546
송파구,110,주거지역,10955536.010653896
송파구,120,공업지역,134400.04434907075
송파구,130,상업지역,2776512.1658335053
송파구,140,위락시설지역,1306767.366967461
송파구,150,교통시설지역,3762084.8654253073
송파구,160,공공시설지역,2710834.6154534277
송파구,210,논,574002.9122728072
송파구,220,밭,1780395.942908533
송파구,230,하우스재배지,222090.34488409173
송파구,250,기타재배지,5992.907421884791
송파구,310,활엽수림,548840.380818038
송파구,320,침엽수림,139847.01353307365
송파구,330,혼효림,614843.4723560037
송파구,410,자연초지,107368.8609033034
송파구,420,골프장,313642.00899664056
송파구,430,기타초지,2510946.2812025663
송파구,510,내륙습지,590521.2718565244
송파구,620,기타나지,960241.953397673
송파구,710,내륙수,3811955.9978220644
양천구,110,주거지역,6615809.271379409
양천구,120,공업지역,9.801363602663791
양천구,130,상업지역,2159899.782286074
양천구,140,위락시설지역,443604.63263809506
양천구,150,교통시설지역,3147072.1143504013
양천구,160,공공시설지역,1545051.429838338
양천구,220,밭,541385.0110118336
양천구,250,기타재배지,7193.830662315809
양천구,310,활엽수림,560865.0543219432
양천구,320,침엽수림,680642.1981010218
양천구,330,혼효림,735231.5885565598
양천구,420,골프장,992.0194525384852
양천구,430,기타초지,248149.65970463867
양천구,510,내륙습지,1304.8715998005991
양천구,620,기타나지,646645.6662383211
양천구,710,내륙수,116438.19150089774
영등포구,110,주거지역,6244437.641072617
영등포구,120,공업지역,252678.9876376997
영등포구,130,상업지역,3363151.59053326
영등포구,140,위락시설지역,1182773.1388278313
영등포구,150,교통시설지역,4802367.449347974
영등포구,160,공공시설지역,1391363.7949822317
영등포구,420,골프장,15880.074247599252
영등포구,430,기타초지,1491966.1955917468
영등포구,510,내륙습지,91860.02634471946
영등포구,620,기타나지,585150.6146275613
영등포구,710,내륙수,5084088.230073177
용산구,110,주거지역,7228954.847848702
용산구,130,상업지역,1494523.1414268054
용산구,140,위락시설지역,584185.7490047644
용산구,150,교통시설지역,3851296.352193461
용산구,160,공공시설지역,2291090.9781878125
용산구,220,밭,19449.109592886474
용산구,310,활엽수림,492805.51712601935
