SIGUNGU_NM,CODE,AREA_M2
노원구,330,7094834.337535273
노원구,410,106852.99923317226
노원구,420,317487.46984438284
노원구,430,181448.00421456754
노원구,620,2746973.6677833716
노원구,710,538426.5826367527
도봉구,110,7508370.668784455
도봉구,120,360814.34612535307
도봉구,130,314537.67042062886
도봉구,150,439901.18925907934
도봉구,160,1119325.5970808608
도봉구,210,166925.60503018834
도봉구,220,322320.31136674515
도봉구,240,7881.110768043225
도봉구,310,6452580.0714445645
도봉구,320,1117083.7297955023
도봉구,330,1749707.4627899495
도봉구,430,391563.6142789975
도봉구,620,473141.6714078504
도봉구,710,265230.7760264383
동대문구,110,8821007.508472087
동대문구,130,917140.0214170887
동대문구,150,1173178.539856183
동대문구,160,1735156.481364174
동대문구,310,780991.0512661992
동대문구,320,315469.83979737875
동대문구,330,94554.01706967081
동대문구,430,6413.137391713973
동대문구,510,63758.853425381036
동대문구,620,274317.22158891096
동대문구,710,84383.75232271878
동작구,110,9836650.546994753
동작구,120,18321.994481525548
동작구,130,773839.1835850002
동작구,140,10508.77072313218
동작구,150,813644.3615118987
동작구,160,1323303.2629534614
동작구,230,440210.5034612843
동작구,310,1695502.3372313175
동작구,320,286167.4752656834
동작구,330,343265.6278479324
동작구,430,223248.0018459042
동작구,620,286079.8598888409
동작구,710,312875.3117365012
마포구,110,9603826.40421343
마포구,120,67755.03445209905
마포구,130,1038844.4640706305
마포구,140,564271.3710734872
마포구,150,2008872.6366782745
마포구,160,2060748.6280781615
마포구,210,187844.34736819775
마포구,220,581393.2462073641
마포구,310,205755.93982069404
마포구,330,383723.1118630577
마포구,430,1666275.9127831673
마포구,510,112197.0802144462
마포구,620,1206976.0576341664
마포구,710,4156333.9790785946
서대문구,110,8605067.582633058
서대문구,130,495718.9501373351
서대문구,150,950298.8800889153
서대문구,160,2400608.787566123
서대문구,310,3049198.480210072
서대문구,330,1627903.3687634873
서대문구,420,59227.03321088866
서대문구,430,309809.32378767966
서대문구,510,72990.80665322645
서대문구,620,103883.19932415616
서초구,110,11735567.894459648
