SIGUNGU_NM,L3_CODE,L3_NAME,AREA_M2
강동구,622,운동장,248648.34121642538
강동구,623,기타나지,2474502.333766515
강동구,711,하천,2019291.7687380556
강동구,712,호소,7387.490957986074
강북구,111,단독주거시설,2255863.6783825383
강북구,112,공동주거시설,1210494.611511736
강북구,121,공업시설,2622.1143481834283
강북구,131,상업·업무시설,1119999.1333372071
강북구,141,문화·체육·휴양시설,144170.80332993143
강북구,154,도로,3683513.578964877
강북구,155,기타 교통·통신시설,19879.898412312185
강북구,161,환경기초시설,4687.141926260237
강북구,162,교육·행정시설,197282.0206796393
강북구,163,기타 공공시설,238394.83357036472
강북구,222,경지정리가 안 된 밭,54983.43504433881
강북구,231,시설재배지,1256.0714348463205
강북구,252,기타재배지,1257.187437981677
강북구,311,활엽수림,8159980.764107196
강북구,321,침엽수림,1426782.6999200769
강북구,331,혼효림,3107893.5662482623
강북구,411,자연초지,59200.39247210282
강북구,422,묘지,8638.175861331465
강북구,423,기타초지,1096554.7745511595
강북구,511,내륙습지,52212.03101640471
강북구,612,강기슭,9755.2978270413
강북구,613,암벽·바위,449137.5561295238
강북구,622,운동장,91799.90137783725
강북구,623,기타나지,193693.10005496177
강북구,711,하천,19034.1769880338
강북구,712,호소,11501.425206993968
강서구,111,단독주거시설,1820556.787741263
강서구,112,공동주거시설,2234078.861231964
강서구,121,공업시설,67113.41951316338
강서구,131,상업·업무시설,2396115.996804833
강서구,132,혼합지역,41395.89592035723
강서구,141,문화·체육·휴양시설,315353.7772567727
강서구,151,공항,337723.5828077445
강서구,153,철도,149369.72282245857
강서구,154,도로,12859754.150074199
강서구,155,기타 교통·통신시설,28270.77052475778
강서구,161,환경기초시설,316947.84041594405
강서구,162,교육·행정시설,343404.12272531417
강서구,163,기타 공공시설,258644.4036111492
강서구,211,경지정리가 된 논,2441476.572201218
강서구,212,경지정리가 안 된 논,64142.01659043656
강서구,221,경지정리가 된 밭,248429.8305247718
강서구,222,경지정리가 안 된 밭,392101.6302311003
강서구,231,시설재배지,119315.55204776998
강서구,241,과수원,15731.31582291822
강서구,252,기타재배지,48055.508504708334
강서구,311,활엽수림,2514849.829035283
강서구,321,침엽수림,508454.34428818175
강서구,331,혼효림,257582.29768568528
강서구,411,자연초지,531917.6390668808
강서구,421,골프장,208973.1800559817
강서구,422,묘지,32603.05755197085
강서구,423,기타초지,6599979.764830384
강서구,511,내륙습지,255569.3591050094
강서구,612,강기슭,25133.728274756108
강서구,613,암벽·바위,7654.391562502691
강서구,622,운동장,388007.72974512546
강서구,623,기타나지,2200312.938369587
강서구,711,하천,3269133.703816958
강서구,712,호소,129103.09814551844
관악구,111,단독주거시설,3187850.913145989
관악구,112,공동주거시설,1391741.2876779065
관악구,121,공업시설,1854.7647452583606
관악구,131,상업·업무시설,1667527.465582968
관악구,132,혼합지역,3388.564914527611
관악구,141,문화·체육·휴양시설,266401.41825735813
관악구,153,철도,16005.112106627868
관악구,154,도로,5111563.85634271
관악구,155,기타 교통·통신시설,9027.64557582134
관악구,161,환경기초시설,2789.087479466425
관악구,162,교육·행정시설,610879.6374727886
관악구,163,기타 공공시설,248825.0633546964
관악구,222,경지정리가 안 된 밭,122216.9561281153
관악구,231,시설재배지,2673.194453564245
관악구,252,기타재배지,1967.2354982622383
관악구,311,활엽수림,7606572.800210093
관악구,321,침엽수림,3663524.042150004
관악구,331,혼효림,1770205.4134754825
관악구,422,묘지,13944.880784355646
관악구,423,기타초지,1384953.9668746146
관악구,511,내륙습지,14045.00771510362
관악구,612,강기슭,33162.43110454706
관악구,613,암벽·바위,1957396.9686315688
관악구,622,운동장,197819.75976745228
관악구,623,기타나지,210027.4290558332
관악구,711,하천,62058.517630955896
관악구,712,호소,4796.74256252968
광진구,111,단독주거시설,2401576.835700015
광진구,112,공동주거시설,894212.8618338084
광진구,121,공업시설,5360.9175178315245
광진구,131,상업·업무시설,1356706.102489388
광진구,132,혼합지역,1201.377883037344
광진구,141,문화·체육·휴양시설,244021.24255042907
광진구,153,철도,26376.861580710654
광진구,154,도로,5020812.793702282
광진구,155,기타 교통·통신시설,6034.583542821242
광진구,161,환경기초시설,79031.56633499164
광진구,162,교육·행정시설,328036.18886118097
광진구,163,기타 공공시설,203851.59938494867
광진구,222,경지정리가 안 된 밭,24779.50892016893
광진구,231,시설재배지,1936.126557997474
광진구,311,활엽수림,941916.5398137778
광진구,321,침엽수림,1143188.2739370517
광진구,331,혼효림,143987.15762426698
광진구,411,자연초지,146423.2032543625
광진구,422,묘지,719.662990244043
광진구,423,기타초지,1492497.979380265
광진구,511,내륙습지,20037.783575823898
광진구,612,강기슭,1430.4695057504396
광진구,613,암벽·바위,414913.92933273135
광진구,622,운동장,165002.06389596238
광진구,623,기타나지,243989.42000368403
광진구,711,하천,1675317.670938946
광진구,712,호소,52568.46829939222
구로구,111,단독주거시설,1608333.6913184456
구로구,112,공동주거시설,1331791.959522623
구로구,121,공업시설,190716.7236498878
구로구,131,상업·업무시설,1842971.2192560094
구로구,132,혼합지역,26421.47659907573
구로구,141,문화·체육·휴양시설,198204.98591210993
구로구,153,철도,474810.0865523016
구로구,154,도로,6501770.825858156
구로구,155,기타 교통·통신시설,9350.920612219426
구로구,161,환경기초시설,3707.2354889335
구로구,162,교육·행정시설,278766.15737312305
구로구,163,기타 공공시설,227509.10907294773
구로구,222,경지정리가 안 된 밭,362299.45747301297
구로구,231,시설재배지,34387.86639785501
구로구,241,과수원,11473.518033908751
구로구,251,목장·양식장,1259.6992131528264
구로구,252,기타재배지,4097.361640939657
구로구,311,활엽수림,3069377.2363143335
구로구,321,침엽수림,269617.46597213025
구로구,331,혼효림,152474.3709001506
구로구,411,자연초지,177106.28253353827
구로구,422,묘지,21704.596651739328
구로구,423,기타초지,2288453.671040123
구로구,511,내륙습지,33316.140010978415
구로구,612,강기슭,1622.3620752980705
구로구,622,운동장,224590.70947720984
구로구,623,기타나지,478330.75411195634
구로구,711,하천,235002.11831084875
구로구,712,호소,23892.76850241867
금천구,111,단독주거시설,1326799.9777828723
금천구,112,공동주거시설,628797.4982989666
금천구,121,공업시설,321019.17083754326
